Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Issue split),Outward issue link (Issue split),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
start with back-end,SCRUM-25,10024,Story,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,Emmanuel Makiwa,712020:a944f74e-7893-449e-ad13-ab98c3995429,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,15/Dec/24 8:53 PM,29/Jan/25 9:29 PM,,29/Jan/25 9:29 PM,,0,write code for back-end ,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_3890161927_*|*_10002_*:*_1_*:*_0,,,Done,29/Jan/25 9:29 PM
start ın front end code,SCRUM-24,10023,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,15/Dec/24 8:51 PM,15/Dec/24 8:51 PM,,,,0,start with frontend ,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,,To Do,15/Dec/24 8:51 PM
Set Up the Project in Jira,SCRUM-23,10022,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,11/Dec/24 6:43 PM,11/Dec/24 6:43 PM,,11/Dec/24 6:43 PM,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000c:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_3801_*|*_10002_*:*_1_*:*_0,,,Done,11/Dec/24 6:43 PM
Define Project Scope and Objectives,SCRUM-22,10021,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,11/Dec/24 6:43 PM,11/Dec/24 6:43 PM,,11/Dec/24 6:43 PM,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000a:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_2655_*|*_10001_*:*_1_*:*_0,,,Done,11/Dec/24 6:43 PM
UI needs to change from mobile to web app,SCRUM-21,10020,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,11/Dec/24 6:42 PM,29/Jan/25 9:29 PM,,29/Jan/25 9:29 PM,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_3279_*|*_10001_*:*_1_*:*_0,,,Done,29/Jan/25 9:29 PM
create a church web app,SCRUM-20,10019,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,11/Dec/24 6:32 PM,11/Dec/24 6:32 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0003z:,,,,10/Nov/24 12:00 AM,,,,,,,,,,,,,To Do,11/Dec/24 6:32 PM
melissa access,SCRUM-19,10018,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,lilian ikirezi,62d6e66ad1bb05497b02006d,lilian ikirezi,62d6e66ad1bb05497b02006d,04/Dec/24 8:27 PM,11/Dec/24 6:40 PM,,11/Dec/24 6:40 PM,,0,,,lilian ikirezi,62d6e66ad1bb05497b02006d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:,,,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_598399560_*|*_10002_*:*_1_*:*_0,,,Done,11/Dec/24 6:40 PM
Write test cases for profile management,SCRUM-18,10017,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:02 PM,28/Nov/24 1:02 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0003j:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:02 PM
Integrate frontend with backend for profile updates.,SCRUM-17,10016,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0003b:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Backend: API for updating user profile.,SCRUM-16,10015,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00033:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Create profile page UI.,SCRUM-15,10014,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0002v:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Write test cases for login flow.,SCRUM-14,10013,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0002n:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Implement frontend validation for login.,SCRUM-13,10012,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0002f:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Backend: Create API for login,SCRUM-12,10011,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00027:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Design UI for login form,SCRUM-11,10010,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0001z:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Write test cases for registration flow.,SCRUM-10,10009,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0001r:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Connect frontend with backend for registration,SCRUM-9,10008,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:01 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0001j:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
Backend: Create API for user registration,SCRUM-8,10007,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:00 PM,28/Nov/24 1:01 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0001b:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:01 PM
UI FOR THE APP,SCRUM-7,10006,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 1:00 PM,28/Nov/24 1:00 PM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00013:,,,,,,,,,,,,,,,,,To Do,28/Nov/24 1:00 PM
User Management System,SCRUM-6,10005,Story,In Progress,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,28/Nov/24 12:59 PM,11/Dec/24 6:40 PM,04/Dec/24 8:22 PM,,,0,"*User Registration*

* *Task 1.1*: Design UI for registration form. 
* *Task 1.2*: Backend: Create API for user registration.
* *Task 1.3*: Connect frontend with backend for registration. 
* *Task 1.4*: Write test cases for registration flow. ",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000v:,,,SCRUM Sprint 3,,,,,,,,,,,,10014,Create profile page UI.,In Progress,28/Nov/24 1:02 PM
Pick up the phones for the app,SCRUM-5,10004,Task,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,lilian ikirezi,62d6e66ad1bb05497b02006d,lilian ikirezi,62d6e66ad1bb05497b02006d,14/Nov/24 8:45 AM,11/Dec/24 6:40 PM,,,,0,,,lilian ikirezi,62d6e66ad1bb05497b02006d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:,,,SCRUM Sprint 3,,,,,,,,,,,,,,To Do,14/Nov/24 8:45 AM
Discuss color palette for the app,SCRUM-4,10003,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,lilian ikirezi,62d6e66ad1bb05497b02006d,lilian ikirezi,62d6e66ad1bb05497b02006d,14/Nov/24 8:45 AM,28/Nov/24 1:24 PM,,28/Nov/24 1:24 PM,,0,,,lilian ikirezi,62d6e66ad1bb05497b02006d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:,,,SCRUM Sprint 2,,,,,,,,,,,10000_*:*_1_*:*_1226359739_*|*_10002_*:*_1_*:*_0,,,Done,28/Nov/24 1:24 PM
We need to make the site responsive,SCRUM-3,10002,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,lilian ikirezi,62d6e66ad1bb05497b02006d,Takudzwa Ashton Muzenda,712020:91a30013-32de-47e4-9f18-981108d3de64,13/Nov/24 8:09 PM,29/Jan/25 9:29 PM,,29/Jan/25 9:29 PM,,0,,,Takudzwa Ashton Muzenda,712020:91a30013-32de-47e4-9f18-981108d3de64,,,,,,,,,SCRUM-1,,,,,,,,,,,,,,,,,,0|i00003:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_6657621498_*|*_10002_*:*_1_*:*_0,,,Done,29/Jan/25 9:29 PM
We need to do the profile page,SCRUM-2,10001,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,lilian ikirezi,62d6e66ad1bb05497b02006d,lilian ikirezi,62d6e66ad1bb05497b02006d,13/Nov/24 8:04 PM,29/Jan/25 9:29 PM,,29/Jan/25 9:29 PM,,0,,,lilian ikirezi,62d6e66ad1bb05497b02006d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00004:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_2_*:*_1272000803_*|*_10002_*:*_1_*:*_1142261910,,,Done,29/Jan/25 9:29 PM
